"","Barrio","Clase.de.sitio","Código.DANE","New.DANE","EncBarrios","NewSitio"
"37","MATECAÑA","CASAS DE HABITACION","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","30","6"
"38","PRIMERO DE FEBRERO 1","VIAS PUBLICAS","ARTÍCULO 365. FABRICACIÓN, TRÁFICO, PORTE O TENENCIA DE ARMAS DE FUEGO,ACCESORIOS, PARTES O MUNICIONES","13","31","1"
"39","SECTOR CARDER","INSTALACIONES DE LA POLICIA","ARTÍCULO 239. HURTO PERSONAS","6","3","9"
"40","SECTOR PARQUE LA LIBERTAD","VIAS PUBLICAS","ARTÍCULO 365. FABRICACIÓN, TRÁFICO, PORTE O TENENCIA DE ARMAS DE FUEGO,ACCESORIOS, PARTES O MUNICIONES","13","21","1"
"41","LA ISLA DE CUBA","VIAS PUBLICAS","ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR","10","32","1"
"42","GALICIA BAJA","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","33","1"
"43","SAN GREGORIO","VIAS PUBLICAS","ARTÍCULO 103. HOMICIDIO","15","34","1"
"44","SECTOR PUENTES DE LA 9A CON 12","VIAS PUBLICAS","ARTÍCULO 447. RECEPTACIÓN","16","6","1"
"45","SECTOR PUENTES DE LA 9A CON 12","VIAS PUBLICAS","ARTÍCULO 447. RECEPTACIÓN","16","6","1"
"46","LOS CRISTALES","VIAS PUBLICAS","ARTÍCULO 239. HURTO MOTOCICLETAS","4","35","1"
"47","SAN ESTEBAN","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","36","1"
"48","PRIMERO DE FEBRERO 1","TIENDA","ARTÍCULO 239. HURTO ENTIDADES COMERCIALES","3","31","10"
"49","SAN JORGE","VIAS PUBLICAS","ARTÍCULO 244. EXTORSIÓN","17","37","1"
"50","SECTOR PUENTES DE LA 9A CON 12","VIAS PUBLICAS","ARTÍCULO 239. HURTO ENTIDADES COMERCIALES","3","6","1"
"51","SECTOR PUENTES DE LA 9A CON 12","VIAS PUBLICAS","ARTÍCULO 239. HURTO ENTIDADES COMERCIALES","3","6","1"
"52","SECTOR PUENTES DE LA 9A CON 12","VIAS PUBLICAS","ARTÍCULO 239. HURTO ENTIDADES COMERCIALES","3","6","1"
"53","LA PAZ CENTRO","VIAS PUBLICAS","ARTÍCULO 239. HURTO PERSONAS","6","22","1"
"54","BOSTON","VIAS PUBLICAS","ARTÍCULO 331. DAÑOS EN LOS RECURSOS NATURALES","18","38","1"
"55","BOSTON","VIAS PUBLICAS","ARTÍCULO 331. DAÑOS EN LOS RECURSOS NATURALES","18","38","1"
"56","PRIMERO DE FEBRERO 1","VIAS PUBLICAS","ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR","10","31","1"
"57","LAS BRISAS  (V/SANTANA)","VIAS PUBLICAS","ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR","10","39","1"
"58","EL DORADO","RIOS","ARTÍCULO 328. ILÍCITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES","19","40","11"
"59","SECTOR PUENTES DE LA 9A CON 12","VIAS PUBLICAS","ARTÍCULO 239. HURTO MOTOCICLETAS","4","6","1"
"60","SECTOR PUENTES DE LA 9A CON 12","VIAS PUBLICAS","ARTÍCULO 239. HURTO MOTOCICLETAS","4","6","1"
"61","LA ISLA (V/SANTANA)","VIAS PUBLICAS","ARTÍCULO 239. HURTO PERSONAS","6","41","1"
"62","P.INDUSTRIAL A","VIAS PUBLICAS","ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR","10","7","1"
"63","PRIMERO DE FEBRERO 1","VIAS PUBLICAS","ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR","10","31","1"
"64","LA PAZ CENTRO","CASAS DE HABITACION","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","22","6"
"65","SECTOR PLAZA DE BOLIVAR","VIAS PUBLICAS","ARTÍCULO 239. HURTO PERSONAS","6","1","1"
"66","SANTA TERESITA","VIAS PUBLICAS","ARTÍCULO 111. LESIONES PERSONALES","11","42","1"
"67","SECTOR GALERIA CENTRAL","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","19","1"
"68","SAN NICOLAS","VIAS PUBLICAS","ARTÍCULO 233. INASISTENCIA ALIMENTARIA.","20","43","1"
"69","CAIMALITO","VIAS PUBLICAS","ARTÍCULO 239. HURTO PERSONAS","6","25","1"
"70","JARDIN DE VELEZ Y VELEZ","VIAS PUBLICAS","ARTÍCULO 365. FABRICACIÓN, TRÁFICO, PORTE O TENENCIA DE ARMAS DE FUEGO,ACCESORIOS, PARTES O MUNICIONES","13","9","1"
"71","VILLAVICENCIO","VIAS PUBLICAS","ARTÍCULO 239. HURTO ENTIDADES COMERCIALES","3","44","1"
"72","EL TRIUNFO","VIAS PUBLICAS","ARTÍCULO 365. FABRICACIÓN, TRÁFICO, PORTE O TENENCIA DE ARMAS DE FUEGO,ACCESORIOS, PARTES O MUNICIONES","13","45","1"
"73","PINARES","VIAS PUBLICAS","ARTÍCULO 239. HURTO ENTIDADES COMERCIALES","3","46","1"
"74","NACEDEROS I","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","47","1"
"75","LA PALMERA","CASAS DE HABITACION","ARTÍCULO 239. HURTO RESIDENCIAS","21","48","6"
"76","SANTA TERESITA","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","42","1"
"77","SECTOR PARQUE LA LIBERTAD","VIAS PUBLICAS","ARTÍCULO 239. HURTO PERSONAS","6","21","1"
"78","SECTOR PARQUE EL LAGO","VIAS PUBLICAS","ARTÍCULO 239. HURTO ENTIDADES COMERCIALES","3","5","1"
"79","SECTOR PARQUE LA LIBERTAD","VIAS PUBLICAS","ARTÍCULO 239. HURTO PERSONAS","6","21","1"
"80","TURIN","VIAS PUBLICAS","ARTÍCULO 244. EXTORSIÓN","17","49","1"
"81","SECTOR PARQUE LA LIBERTAD","VIAS PUBLICAS","ARTÍCULO 365. FABRICACIÓN, TRÁFICO, PORTE O TENENCIA DE ARMAS DE FUEGO,ACCESORIOS, PARTES O MUNICIONES","13","21","1"
"82","LENINGRADO III","VIAS PUBLICAS","ARTÍCULO 103. HOMICIDIO","15","50","1"
"83","SANTA TERESITA","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","42","1"
